Timestamp,Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,Load Cell 1,Load Cell 2,Load Cell 3,Load Cell 4
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-126.0,209.0,-196.0,278.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-126.0,209.0,-196.0,277.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-126.0,209.0,-196.0,277.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-126.0,209.0,-196.0,277.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-126.0,209.0,-198.0,204.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-157.0,206.0,-198.0,202.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-150.0,206.0,-240.0,231.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-139.0,209.0,-213.0,260.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-123.0,209.0,-208.0,266.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-122.0,207.0,-207.0,266.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-122.0,211.0,-207.0,272.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-118.0,207.0,-204.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-203.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-119.0,207.0,-204.0,279.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-118.0,207.0,-205.0,281.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-117.0,205.0,-205.0,281.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-117.0,205.0,-205.0,281.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-118.0,207.0,-192.0,239.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-183.0,207.0,-161.0,240.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-185.0,264.0,-166.0,217.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-182.0,233.0,-164.0,233.0
2024-10-16 20:04:07,60.0,0.21,0.0,64.0,39.0,-178.0,235.0,-164.0,223.0
