Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,DEBUG: Control message -> &_PID_0.900000_1.300000_0.200000_*
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,5,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,5,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,5,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,5,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
50,200,0,0,6,,,,
