Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,
50,150,0,-36,31,,,
50,150,0,-33,31,,,
50,150,0,-30,31,,P,1.25
50,150,0,-22,31,,I,0.7
50,150,0,-22,31,,D,0
50,150,0,-26,31,,,
50,150,0,-33,31,,,
50,150,0,-35,31,,,
50,150,0,-31,32,,,
50,150,0,-33,31,,,
50,150,0,-21,32,,,
50,150,0,-14,31,,,
50,150,0,-17,32,,,
50,150,0,-26,31,,,
50,150,0,-9,19,,,
50,150,0,-10,9,,,
50,150,0,-6,6,,,
50,150,0,-9,2,,,
50,150,0,-7,-1,,,
50,150,0,-5,-9,,,
50,150,0,-3,-11,,,
50,150,0,-2,-11,,,
50,150,0,-13,-6,,,
50,150,0,-10,-4,,,
50,150,0,-12,-3,,,
50,150,0,-6,-3,,,
50,150,0,-6,-2,,,
50,150,0,-4,-2,,,
50,150,0,-6,0,,,
50,150,0,-8,0,,,
50,150,0,-8,0,,,
50,150,0,-6,1,,,
50,150,0,-10,1,,,
50,150,0,-6,0,,,
50,150,0,-9,1,,,
50,150,0,-2,1,,,
50,150,0,-6,2,,,
50,150,0,-8,1,,,
50,150,0,-16,1,,,
50,150,0,-27,0,,,
50,150,0,-18,0,,,
50,150,0,-9,1,,,
50,150,0,-7,1,,,
50,150,0,-4,1,,,
50,150,0,0,1,,,
50,150,0,-3,1,,,
50,150,0,-6,0,,,
50,150,0,-8,0,,,
50,150,0,-8,1,,,
50,150,0,-10,1,,,
50,150,0,-3,1,,,
50,150,0,-15,1,,,
50,150,0,-12,0,,,
50,150,0,-12,1,,,
50,150,0,-8,0,,,
50,150,0,-11,0,,,
50,150,0,-22,0,,,
50,150,0,-14,0,,,
50,150,0,-6,0,,,
50,150,0,-13,1,,,
50,150,0,-9,1,,,
50,150,0,-5,1,,,
50,150,0,-8,0,,,
50,150,0,0,0,,,
50,150,0,-4,0,,,
50,150,0,-4,1,,,
50,150,0,-7,1,,,
50,150,0,-6,1,,,
50,150,0,-4,1,,,
50,150,0,-4,1,,,
50,150,0,-4,0,,,
50,150,0,-6,0,,,
50,150,0,-4,1,,,
50,150,0,0,1,,,
50,150,0,-1,0,,,
50,150,0,0,1,,,
50,150,0,-5,1,,,
50,150,0,-3,1,,,
50,150,0,-10,0,,,
50,150,0,-2,1,,,
50,150,0,0,1,,,
50,150,0,-3,0,,,
50,150,0,-2,0,,,
50,150,0,-16,0,,,
50,150,0,-16,0,,,
50,150,0,-14,0,,,
50,150,0,-19,0,,,
50,150,0,-22,0,,,
50,150,0,-22,0,,,
50,150,0,-14,0,,,
50,150,0,-13,0,,,
50,150,0,-12,0,,,
50,150,0,-13,0,,,
50,150,0,-17,0,,,
50,150,0,-22,0,,,
50,150,0,-20,0,,,
50,150,0,-18,0,,,
50,150,0,-18,0,,,
50,150,0,-13,0,,,
50,150,0,-6,0,,,
50,150,0,-21,0,,,
50,150,0,-18,0,,,
50,150,10,-28,0,,,
50,150,10,-27,0,,,
50,150,10,-34,19,,,
50,150,10,-26,31,,,
50,150,10,-4,8,,,
50,150,10,-48,9,,,
50,150,10,-48,81,,,
50,150,10,-29,25,,,
50,150,10,-19,-25,,,
50,150,10,-7,46,,,
50,150,10,-8,117,,,
50,150,10,-9,80,,,
50,150,10,-2,54,,,
50,150,10,-22,115,,,
50,150,10,-23,44,,,
50,150,10,-16,23,,,
50,150,10,-6,114,,,
50,150,10,-2,34,,,
50,150,10,-3372,-193,,,
50,150,10,-5825,-323,,,
50,150,20,-7089,-385,,,
50,150,20,-7656,-406,,,
50,150,20,-7901,-413,,,
50,150,20,-7999,-416,,,
50,150,20,-8036,-417,,,
50,150,20,-8061,-418,,,
50,150,20,-8074,-419,,,
50,150,20,-8093,-420,,,
50,150,20,-8100,-420,,,
50,150,20,-8103,-421,,,
50,150,20,-8108,-421,,,
50,150,20,-8108,-420,,,
50,150,20,-8106,-421,,,
50,150,20,-8103,-420,,,
50,150,20,-8108,-420,,,
50,150,20,-8117,-421,,,
50,150,20,-8117,-421,,,
50,150,20,-8120,-422,,,
50,150,20,-8125,-421,,,
50,150,20,-8116,-421,,,
50,150,30,-8110,-421,,,
50,150,30,-8109,-421,,,
50,150,30,-8112,-421,,,
50,150,30,-8126,-421,,,
50,150,30,-8127,-422,,,
50,150,30,-8132,-423,,,
50,150,30,-8129,-422,,,
50,150,30,-8125,-422,,,
50,150,30,-8124,-422,,,
50,150,30,-8120,-422,,,
50,150,30,-8118,-422,,,
50,150,30,-8129,-422,,,
50,150,30,-8133,-422,,,
50,150,30,-8138,-422,,,
50,150,30,-8145,-422,,,
50,150,30,-8136,-422,,,
50,150,30,-8134,-421,,,
50,150,30,-8130,-422,,,
50,150,30,-8127,-421,,,
50,150,30,-8136,-422,,,
50,150,0,-8142,-422,,,
50,150,0,-8143,-423,,,
50,150,0,-8143,-422,,,
50,150,0,-8142,-422,,,
50,150,0,-8139,-422,,,
50,150,0,-8137,-422,,,
50,150,0,-8136,-422,,,
50,150,0,-8141,-422,,,
