Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,0,0,-1,,,,,,,,,,,,,
50,200,10,0,-1,,,,,,,,,,,,,
50,200,10,0,-1,,,,,,,,,,,,,
50,200,10,0,-42,,,,,,,,,,,,,
50,200,10,0,-65,,,,,,,,,,,,,
50,200,10,0,-72,,,,,,,,,,,,,
50,200,10,0,-75,,,,,,,,,,,,,
50,200,10,0,-75,,,,,,,,,,,,,
50,200,10,0,-71,,,,,,,,,,,,,
50,200,10,0,-70,,,,,,,,,,,,,
50,200,10,0,-105,,,,,,,,,,,,,
50,200,10,0,-201,,,,,,,,,,,,,
50,200,10,0,-247,,,,,,,,,,,,,
50,200,10,0,-268,,,,,,,,,,,,,
50,200,10,0,-276,,,,,,,,,,,,,
50,200,10,0,-280,,,,,,,,,,,,,
50,200,10,0,-281,,,,,,,,,,,,,
50,200,10,0,-282,,,,,,,,,,,,,
50,200,10,0,-282,,,,,,,,,,,,,
50,200,10,0,-282,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-284,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,20,0,-284,,,,,,,,,,,,,
50,200,20,0,-284,,,,,,,,,,,,,
50,200,20,0,-284,,,,,,,,,,,,,
50,200,20,0,-283,,,,,,,,,,,,,
50,200,30,0,-283,,,,,,,,,,,,,
50,200,30,0,-283,,,,,,,,,,,,,
50,200,30,0,-283,,,,,,,,,,,,,
50,200,30,0,-283,,,,,,,,,,,,,
50,200,30,0,-284,,,,,,,,,,,,,
50,200,30,0,-283,,,,,,,,,,,,,
50,200,30,0,-284,,,,,,,,,,,,,
50,200,30,0,-284,,,,,,,,,,,,,
50,200,30,0,-282,,,,,,,,,,,,,
50,200,30,0,-276,,,,,,,,,,,,,
50,200,30,0,-271,,,,,,,,,,,,,
50,200,30,0,-267,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,30,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-265,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-265,,,,,,,,,,,,,
50,200,0,0,-265,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-265,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-265,,,,,,,,,,,,,
50,200,0,0,-265,,,,,,,,,,,,,
50,200,0,0,-266,,,,,,,,,,,,,
50,200,0,0,-264,,,,,,,,,,,,,
50,200,0,0,-263,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-262,,,,,,,,,,,,,
50,200,0,0,-70,,,,,,,,,,,,,
50,200,0,0,-11,,,,,,,,,,,,,
50,200,0,0,8,,,,,,,,,,,,,
50,200,0,0,14,,,,,,,,,,,,,
50,200,0,0,16,,,,,,,,,,,,,
50,200,0,0,17,,,,,,,,,,,,,
50,200,0,0,17,,,,,,,,,,,,,
50,200,0,0,17,,,,,,,,,,,,,
