Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,
50,200,0,0,0,,
50,200,0,0,0,,Received control message: &_PID_0.800000_1.400000_0.200000_*
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,2,,
50,200,0,0,3,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,0,0,4,,
50,200,10,0,4,,
50,200,10,0,4,,
50,200,10,0,4,,
50,200,10,0,4,,
50,200,10,0,5,,
50,200,10,0,10,,
50,200,10,0,12,,
50,200,10,0,14,,
50,200,10,0,14,,
50,200,10,0,13,,
50,200,10,0,13,,
50,200,10,0,13,,
50,200,10,0,13,,
50,200,10,0,13,,
50,200,10,0,13,,
50,200,10,0,13,,
50,200,10,0,14,,
50,200,10,0,13,,
50,200,10,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,13,,
50,200,20,0,13,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,13,,
50,200,20,0,13,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,20,0,14,,
50,200,30,0,14,,
50,200,30,0,14,,
50,200,30,0,21,,
50,200,30,0,28,,
50,200,30,0,30,,
50,200,30,0,31,,
50,200,30,0,31,,
50,200,30,0,32,,
50,200,30,0,31,,
50,200,30,0,31,,
50,200,30,0,31,,
50,200,30,0,31,,
50,200,30,0,31,,
50,200,30,0,32,,
50,200,30,0,31,,
50,200,30,0,32,,
50,200,30,0,32,,
50,200,30,0,31,,
50,200,30,0,31,,
50,200,0,0,32,,
50,200,0,0,32,,
50,200,0,0,32,,
50,200,0,0,31,,
50,200,0,0,29,,
50,200,0,0,16,,
50,200,0,0,5,,
50,200,0,0,1,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,0,,
50,200,0,0,3,,
50,200,0,0,9,,
50,200,0,0,11,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
50,200,0,0,12,,
