Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,
50,150,0,-18,-8,,,
50,150,0,-27,-8,,p,1
50,150,0,-33,-9,,I,0.7
50,150,0,-33,-9,,D,0.005
50,150,0,-29,-9,,,
50,150,0,-18,-8,,,
50,150,0,-16,-8,,,
50,150,0,-18,-9,,,
50,150,0,-19,-8,,,
50,150,0,-25,-9,,,
50,150,0,-24,-9,,,
50,150,0,-28,-9,,,
50,150,0,-30,-9,,,
50,150,0,-24,-8,,,
50,150,0,-16,-8,,,
50,150,0,-16,-8,,,
50,150,0,-12,-8,,,
50,150,0,-14,-8,,,
50,150,0,-28,-9,,,
50,150,0,-27,-9,,,
50,150,0,-26,-9,,,
50,150,0,-23,-8,,,
50,150,0,-16,-8,,,
50,150,0,-18,-8,,,
50,150,0,-23,-8,,,
50,150,0,-30,-8,,,
50,150,0,-33,-8,,,
50,150,0,-33,-6,,,
50,150,0,-28,-2,,,
50,150,0,-27,0,,,
50,150,0,-20,1,,,
50,150,0,-21,1,,,
50,150,0,-19,1,,,
50,150,0,-24,1,,,
50,150,0,-28,1,,,
50,150,0,-33,1,,,
50,150,0,-24,1,,,
50,150,0,-17,1,,,
50,150,0,-21,1,,,
50,150,0,-22,1,,,
50,150,0,-21,1,,,
50,150,0,-20,1,,,
50,150,0,-23,1,,,
50,150,0,-28,1,,,
50,150,0,-29,1,,,
50,150,0,-24,1,,,
50,150,0,-24,1,,,
50,150,0,-24,1,,,
50,150,0,-21,1,,,
50,150,0,-19,1,,,
50,150,0,-20,1,,,
50,150,0,-22,1,,,
50,150,0,-18,1,,,
50,150,0,-12,1,,,
50,150,0,-12,1,,,
50,150,0,-10,1,,,
50,150,0,-10,1,,,
50,150,0,-17,1,,,
50,150,0,-22,1,,,
50,150,0,-22,1,,,
50,150,0,-24,1,,,
50,150,0,-16,1,,,
50,150,0,-13,1,,,
50,150,0,-15,1,,,
50,150,0,-17,1,,,
50,150,0,-22,1,,,
50,150,0,-33,1,,,
50,150,0,-27,1,,,
50,150,0,-25,1,,,
50,150,0,-25,0,,,
50,150,0,-23,1,,,
50,150,0,-20,1,,,
50,150,0,-27,1,,,
50,150,0,-35,1,,,
50,150,0,-32,0,,,
50,150,0,-32,0,,,
50,150,0,-29,0,,,
50,150,0,-28,1,,,
50,150,0,-29,1,,,
50,150,0,-22,1,,,
50,150,0,-30,1,,,
50,150,0,-37,0,,,
50,150,0,-35,0,,,
50,150,0,-30,0,,,
50,150,0,-29,1,,,
50,150,0,-26,1,,,
50,150,0,-25,1,,,
50,150,0,-23,1,,,
50,150,10,-29,1,,,
50,150,10,-38,0,,,
50,150,10,-39,-4,,,
50,150,10,-23,-59,,,
50,150,10,-30,-84,,,
50,150,10,-17,-91,,,
50,150,10,-28,-94,,,
50,150,10,-26,-96,,,
50,150,10,-6,-97,,,
50,150,10,-7,-96,,,
50,150,10,-10,-97,,,
50,150,10,-5,-97,,,
50,150,10,-14,-96,,,
50,150,10,-22,-96,,,
50,150,10,-12,-96,,,
50,150,10,-7,-97,,,
50,150,10,-15,-97,,,
50,150,10,-11,-97,,,
50,150,10,-19,-97,,,
50,150,10,-21,-96,,,
50,150,20,-21,-97,,,
50,150,20,-4,-97,,,
50,150,20,-3,-97,,,
50,150,20,-4,-95,,,
50,150,20,-11,-54,,,
50,150,20,-7,52,,,
50,150,20,-14,88,,,
50,150,20,-24,78,,,
50,150,20,-18,51,,,
50,150,20,-7,36,,,
50,150,20,-27,31,,,
50,150,20,-36,29,,,
50,150,20,-30,27,,,
50,150,20,-20,27,,,
50,150,20,-19,27,,,
50,150,20,-40,27,,,
50,150,20,-36,27,,,
50,150,20,-27,27,,,
50,150,20,-25,27,,,
50,150,20,-24,27,,,
