Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,
50,150,30,-50,30,,,,,
50,150,30,-60,30,,,,,
50,150,0,-54,32,,,,,
50,150,0,-51,30,,,,,
50,150,0,-68,30,,,,,
50,150,0,-54,30,,,,,
50,150,0,-59,31,,,,,
50,150,0,-47,31,,,,,
50,150,0,-39,30,,,,,
50,150,0,-45,31,,,,,
50,150,0,-47,30,,,,,
50,150,0,-41,30,,,,,
50,150,0,-38,31,,,,,
50,150,0,-47,31,,,,,
50,150,0,-50,31,,,,,
50,150,0,-53,31,,,,,
50,150,0,-37,31,,,,,
50,150,0,-28,32,,,,,
50,150,0,-33,31,,,,,
50,150,0,-38,31,,,,,
50,150,0,-43,31,,,,,
50,150,0,-62,32,,,,,
50,150,0,-61,32,,,,,
50,150,0,-61,32,,,,,
50,150,0,-38,32,,,,,
50,150,0,-15,31,,,,,
50,150,0,0,32,,,,,
50,150,0,-11,32,,,,,
50,150,0,0,32,,,,,
50,150,0,-7,32,,,,,
50,150,0,-9,32,,,,,
50,150,0,-10,32,,,,,
50,150,0,-21,32,,,,,
50,150,0,-22,32,,,,,
50,150,0,-22,32,,,,,
50,150,0,-25,31,,,,,
50,150,0,-15,31,,,,,
50,150,0,-16,32,,,,,
50,150,0,-13,32,,,,,
50,150,0,-12,32,,,,,
50,150,0,-22,32,,,,,
50,150,0,-35,32,,,,,
50,150,0,-34,32,,,,,
50,150,0,-30,32,,,,,
50,150,0,-24,32,,,,,
50,150,0,-23,32,,,,,
50,150,0,-13,32,,,,,
50,150,0,-12,32,,,,,
50,150,0,-22,32,,,,,
50,150,0,-21,32,,,,,
50,150,0,-23,32,,,,,
50,150,0,-23,31,,,,,
50,150,0,-21,32,,,,,
50,150,0,-13,32,,,,,
50,150,0,-12,32,,,,,
50,150,0,-20,32,,,,,
50,150,0,-28,32,,,,,
50,150,0,-38,32,,,,,
50,150,0,-34,32,,,,,
50,150,0,-26,32,,,,,
50,150,0,-22,32,,,,,
50,150,0,-20,32,,,,,
50,150,0,-24,32,,,,,
