Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,
50,150,0,-17,-2,,,,,
50,150,0,-19,-2,,,,p,1
50,150,0,-22,-2,,,,i,0.7
50,150,0,-33,-2,,,,d,0
50,150,0,-31,-2,,,,,
50,150,0,-36,-3,,,,,
50,150,0,-39,-2,,,,,
50,150,0,-35,-1,,,,,
50,150,0,-34,-2,,,,,
50,150,0,-27,-2,,,,,
50,150,0,-25,-1,,,,,
50,150,0,-21,-2,,,,,
50,150,0,-31,-1,,,,,
50,150,0,-28,-2,,,,,
50,150,0,-29,-2,,,,,
50,150,0,-21,-2,,,,,
50,150,0,-21,-2,,,,,
50,150,0,-31,-1,,,,,
50,150,0,-33,-1,,,,,
50,150,0,-25,-2,,,,,
50,150,0,-25,-1,,,,,
50,150,0,-25,-2,,,,,
50,150,0,-24,-2,,,,,
50,150,0,-16,-2,,,,,
50,150,0,-16,-2,,,,,
50,150,0,-21,-2,,,,,
50,150,0,-24,-1,,,,,
50,150,0,-26,-1,,,,,
50,150,0,-20,-2,,,,,
50,150,0,-28,-2,,,,,
50,150,0,-17,-1,,,,,
50,150,0,-18,-1,,,,,
50,150,0,-16,-1,,,,,
50,150,0,-19,-1,,,,,
50,150,0,-14,-1,,,,,
50,150,0,-24,-1,,,,,
50,150,0,-33,-2,,,,,
50,150,0,-38,-2,,,,,
50,150,0,-46,-2,,,,,
50,150,0,-40,-3,,,,,
50,150,0,-38,-3,,,,,
50,150,0,-46,-2,,,,,
50,150,0,-38,-3,,,,,
50,150,0,-29,-2,,,,,
50,150,0,-35,-2,,,,,
50,150,0,-43,-2,,,,,
50,150,0,-31,-2,,,,,
50,150,0,-28,-2,,,,,
50,150,0,-39,-2,,,,,
50,150,0,-36,-2,,,,,
50,150,0,-44,-2,,,,,
50,150,0,-46,-2,,,,,
50,150,0,-40,-2,,,,,
50,150,0,-41,-2,,,,,
50,150,0,-41,-2,,,,,
50,150,0,-31,-1,,,,,
50,150,10,-28,-1,,,,,
50,150,10,-21,-1,,,,,
50,150,10,-36,6,,,,,
50,150,10,-35,21,,,,,
50,150,10,-11,24,,,,,
50,150,10,-39,23,,,,,
50,150,10,-73,23,,,,,
50,150,10,-114,22,,,,,
50,150,10,-91,23,,,,,
50,150,10,-73,23,,,,,
50,150,10,-66,23,,,,,
50,150,10,-57,24,,,,,
50,150,10,-55,22,,,,,
50,150,10,-52,22,,,,,
50,150,10,-53,23,,,,,
50,150,10,-57,23,,,,,
50,150,10,-43,23,,,,,
50,150,10,-56,22,,,,,
50,150,10,-58,23,,,,,
50,150,10,-43,23,,,,,
50,150,20,-50,23,,,,,
50,150,20,-46,26,,,,,
50,150,20,-46,28,,,,,
50,150,20,-55,30,,,,,
50,150,20,-56,31,,,,,
50,150,20,-48,30,,,,,
50,150,20,-49,30,,,,,
50,150,20,-39,31,,,,,
50,150,20,-36,30,,,,,
50,150,20,-54,30,,,,,
50,150,20,-49,30,,,,,
50,150,20,-52,29,,,,,
50,150,20,-55,30,,,,,
50,150,20,-54,30,,,,,
50,150,20,-47,30,,,,,
50,150,20,-37,29,,,,,
50,150,20,-42,30,,,,,
50,150,20,-48,30,,,,,
50,150,20,-52,31,,,,,
50,150,20,-45,30,,,,,
50,150,30,-49,30,,,,,
50,150,30,-50,29,,,,,
50,150,30,-56,29,,,,,
50,150,30,-36,29,,,,,
50,150,30,-35,30,,,,,
50,150,30,-28,30,,,,,
50,150,30,-34,30,,,,,
50,150,30,-59,30,,,,,
50,150,30,-52,30,,,,,
50,150,30,-48,30,,,,,
50,150,30,-48,30,,,,,
50,150,30,-46,30,,,,,
50,150,30,-39,31,,,,,
50,150,30,-53,29,,,,,
50,150,30,-55,29,,,,,
50,150,30,-61,30,,,,,
50,150,30,-43,30,,,,,
50,150,30,-63,31,,,,,
