Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,
50,150,0,-78,27,,,,
50,150,0,-78,26,,,,
50,150,0,-78,27,,,,
50,150,0,-81,27,,,,
50,150,0,-70,27,,,,
50,150,0,-76,27,,,,
50,150,0,-83,27,,,,
50,150,0,-86,27,,,,
50,150,0,-84,27,,,,
50,150,0,-83,27,,,,
50,150,0,-77,27,,,,
50,150,0,-75,27,,,,
50,150,0,-73,27,,,,
50,150,0,-84,27,,,,
50,150,0,-86,27,,,,
